Frente;Tipo;Estaca_Map;Estaca_Topo;Classe;X;Y;N_Cambota
J0;CAMBOTA;342,09;0+342,09;S-V;615233.9271;7492084.814;01
J0;CAMBOTA;341,29;0+341,29;S-V;615234.2177;7492085.559;02
J0;CAMBOTA;340,49;0+340,49;S-V;615234.5083;7492086.305;03
J0;CAMBOTA;339,69;0+339,69;S-V;615234.7988;7492087.05;04
J0;CAMBOTA;338,89;0+338,89;S-V;615235.0894;7492087.796;05
J0;CAMBOTA;338,09;0+338,09;S-V;615235.38;7492088.541;06
J0;CAMBOTA;337,29;0+337,29;S-V;615235.6705;7492089.286;07
J0;CAMBOTA;336,52;0+336,52;S-V;615235.9611;7492090.032;08
J0;CAMBOTA;335,64;0+335,64;S-V;615236.2517;7492090.777;09
J0;CAMBOTA;334,91;0+334,91;S-V;615236.5422;7492091.522;10
J0;CAMBOTA;334,10;0+334,10;S-V;615236.8328;7492092.268;11
J0;CAMBOTA;333,29;0+333,29;S-V;615237.1234;7492093.013;12
J0;CAMBOTA;332,49;0+332,49;S-V;615237.4139;7492093.758;13
J0;CAMBOTA;331,69;0+331,69;S-V;615237.7045;7492094.504;14
J0;CAMBOTA;330,90;0+330,89;S-V;615237.9951;7492095.249;15
J0;CAMBOTA;330,09;0+330,09;S-V;615238.2856;7492095.995;16
J0;CAMBOTA;328,49;0+328,49;S-V;615238.8668;7492097.485;18
J0;CAMBOTA;327,69;0+327,69;S-V;615239.1573;7492098.231;19
J0;CAMBOTA;326,89;0+326,89;S-V;615239.4479;7492098.976;20
J0;CAMBOTA;326,09;0+326,09;S-V;615239.7385;7492099.721;21
J0;CAMBOTA;325,29;0+325,29;S-V;615240.029;7492100.467;22
J0;CAMBOTA;324,49;0+324,49;S-V;615240.3196;7492101.212;23
J0;CAMBOTA;323,69;0+323,69;S-V;615240.6102;7492101.958;24
J0;CAMBOTA;322,89;0+322,89;S-V;615240.9007;7492102.703;25
J0;CAMBOTA;322,09;0+322,09;S-V;615241.1913;7492103.448;26
J0;CAMBOTA;321,29;0+321,29;S-V;615241.4819;7492104.194;27
J0;CAMBOTA;320,49;0+320,49;S-V;615241.7724;7492104.939;28
J0;CAMBOTA;319,69;0+319,69;S-V;615242.063;7492105.684;29
J0;CAMBOTA;318,89;0+318,89;S-V;615242.3536;7492106.43;30
J0;CAMBOTA;318,09;0+318,09;S-V;615242.6441;7492107.175;31
J0;CAMBOTA;317,29;0+317,29;S-V;615242.9347;7492107.92;32
J0;CAMBOTA;316,49;0+316,49;S-V;615243.2253;7492108.666;33
J0;CAMBOTA;315,69;0+315,69;S-V;615243.5158;7492109.411;34
J0;CAMBOTA;314,89;0+314,89;S-V;615243.8064;7492110.157;35
J0;CAMBOTA;314,09;0+314,09;S-V;615244.097;7492110.902;36
J0;CAMBOTA;313,29;0+313,29;S-V;615244.3875;7492111.647;37
J0;CAMBOTA;312,49;0+312,49;S-V;615244.6781;7492112.393;38
J0;CAMBOTA;311,69;0+311,69;S-V;615244.9687;7492113.138;39
J0;CAMBOTA;310,89;0+310,89;S-V;615245.2592;7492113.883;40
J0;CAMBOTA;310,09;0+310,09;S-V;615245.5498;7492114.629;41
J0;CAMBOTA;309,29;0+309,29;S-V;615245.8403;7492115.374;42
J0;CAMBOTA;308,49;0+308,49;S-V;615246.1309;7492116.119;43
J0;CAMBOTA;307,69;0+307,69;S-V;615246.4215;7492116.865;44
J0;CAMBOTA;306,89;0+306,89;S-V;615246.712;7492117.61;45
J0;CAMBOTA;306,09;0+306,09;S-V;615247.0026;7492118.356;46
J0;CAMBOTA;305,29;0+305,29;S-V;615247.2932;7492119.101;47
J0;CAMBOTA;304,49;0+304,49;S-V;615247.5837;7492119.846;48
J0;CAMBOTA;303,69;0+303,69;S-V;615247.8743;7492120.592;49
J0;CAMBOTA;302,89;0+302,89;S-V;615248.1649;7492121.337;50
J0;CAMBOTA;302,09;0+302,09;S-V;615248.4554;7492122.082;51
J0;CAMBOTA;301,29;0+301,29;S-V;615248.746;7492122.828;52
J0;CAMBOTA;300,49;0+300,49;S-V;615249.0366;7492123.573;53
J0;CAMBOTA;299,69;0+299,69;S-V;615249.3271;7492124.319;54
J0;CAMBOTA;298,89;0+298,89;S-V;615249.6177;7492125.064;55
J0;CAMBOTA;298,09;0+298,09;S-V;615249.9083;7492125.809;56
J0;CAMBOTA;297,29;0+297,29;S-V;615250.1988;7492126.555;57
J0;CAMBOTA;296,49;0+296,49;S-V;615250.4894;7492127.3;58
J0;CAMBOTA;295,69;0+295,69;S-V;615250.78;7492128.045;59
J0;CAMBOTA;294,89;0+294,89;S-V;615251.0705;7492128.791;60
J0;CAMBOTA;294,09;0+294,09;S-V;615251.3611;7492129.536;61
J0;CAMBOTA;293,29;0+293,29;S-V;615251.6517;7492130.281;62
J0;CAMBOTA;292,49;0+292,49;S-V;615251.9422;7492131.027;63
J0;CAMBOTA;291,69;0+291,69;S-V;615252.2328;7492131.772;64
J0;CAMBOTA;290,89;0+290,89;S-V;615252.5234;7492132.518;65
J0;CAMBOTA;290,09;0+290,09;S-V;615252.8139;7492133.263;66
J0;CAMBOTA;289,29;0+289,29;S-V;615253.1045;7492134.008;67
J0;CAMBOTA;288,49;0+288,49;S-V;615253.3951;7492134.754;68
J0;CAMBOTA;287,69;0+287,69;S-V;615253.6856;7492135.499;69
J0;CAMBOTA;286,89;0+286,89;S-V;615253.9762;7492136.244;70
J0;CAMBOTA;286,09;0+286,09;S-V;615254.2668;7492136.99;71
J0;CAMBOTA;285,29;0+285,29;S-V;615254.5573;7492137.735;72
J0;CAMBOTA;284,49;0+284,49;S-V;615254.8479;7492138.48;73
J0;CAMBOTA;283,69;0+283,69;S-V;615255.1385;7492139.226;74
J0;CAMBOTA;282,89;0+282,89;S-V;615255.429;7492139.971;75
J0;CAMBOTA;282,09;0+282,09;S-V;615255.7196;7492140.717;76
J0;CAMBOTA;281,29;0+281,29;S-V;615256.0102;7492141.462;77
J0;CAMBOTA;280,49;0+280,49;S-V;615256.3007;7492142.207;78
J0;CAMBOTA;279,69;0+279,69;S-V;615256.5913;7492142.953;79
J0;CAMBOTA;278,89;0+278,89;S-V;615256.8819;7492143.698;80
J0;CAMBOTA;278,09;0+278,09;S-V;615257.1724;7492144.443;81
J0;CAMBOTA;277,29;0+277,29;S-V;615257.463;7492145.189;82
J0;CAMBOTA;276,49;0+276,49;S-V;615257.7536;7492145.934;83
J0;CAMBOTA;275,69;0+275,69;S-V;615258.0441;7492146.68;84
J0;CAMBOTA;274,89;0+274,89;S-V;615258.3347;7492147.425;85
J0;CAMBOTA;274,09;0+274,09;S-V;615258.6253;7492148.17;86
J0;CAMBOTA;273,29;0+273,29;S-V;615258.9158;7492148.916;87
J0;CAMBOTA;272,49;0+272,49;S-V;615259.2064;7492149.661;88
J0;CAMBOTA;271,69;0+271,69;S-V;615259.497;7492150.406;89
J0;CAMBOTA;270,89;0+270,89;S-V;615259.7875;7492151.152;90
J0;CAMBOTA;270,09;0+270,09;S-V;615260.0781;7492151.897;91
J0;CAMBOTA;269,29;0+269,29;S-V;615260.3686;7492152.642;92
J0;CAMBOTA;268,49;0+268,49;S-V;615260.6592;7492153.388;93
J0;CAMBOTA;267,69;0+267,69;S-V;615260.9498;7492154.133;94
J0;CAMBOTA;266,89;0+266,89;S-V;615261.2403;7492154.879;95
J0;CAMBOTA;266,09;0+266,09;S-V;615261.5309;7492155.624;96
J0;CAMBOTA;265,29;0+265,29;S-V;615261.8215;7492156.369;97
J0;CAMBOTA;264,49;0+264,49;S-V;615262.112;7492157.115;98
J0;CAMBOTA;263,69;0+263,69;S-V;615262.4026;7492157.86;99
J0;CAMBOTA;262,89;0+262,89;S-V;615262.6932;7492158.605;100
J0;CAMBOTA;262,09;0+262,09;S-V;615262.9837;7492159.351;101
J0;CAMBOTA;261,29;0+261,29;S-V;615263.2743;7492160.096;102
J0;CAMBOTA;260,49;0+260,49;S-V;615263.5649;7492160.841;103
J0;CAMBOTA;259,69;0+259,69;S-V;615263.8554;7492161.587;104
J0;CAMBOTA;258,09;0+258,09;S-V;615264.4366;7492163.078;106
J0;CAMBOTA;257,29;0+257,29;S-V;615264.7271;7492163.823;107
J0;CAMBOTA;256,49;0+256,49;S-V;615265.0177;7492164.568;108
J0;CAMBOTA;255,69;0+255,69;S-V;615265.3083;7492165.314;109
J0;CAMBOTA;254,89;0+254,89;S-V;615265.5988;7492166.059;110
J0;CAMBOTA;254,09;0+254,09;S-V;615265.8894;7492166.804;111
J0;CAMBOTA;253,09;0+253,09;S-V;615266.2526;7492167.736;112
J0;CAMBOTA;252,09;0+252,09;S-V;615266.6158;7492168.668;113
J0;CAMBOTA;251,29;0+251,29;S-V;615266.9064;7492169.413;114
J0;CAMBOTA;249,49;0+249,49;S-V;615267.5602;7492171.09;116
J0;CAMBOTA;248,09;0+248,09;S-V;615267.9234;7492172.022;117
J0;CAMBOTA;247,49;0+247,49;S-V;615268.2866;7492172.954;118
J0;CAMBOTA;246,09;0+246,09;S-V;615268.6498;7492173.885;119
J0;CAMBOTA;245,09;0+245,09;S-V;615269.013;7492174.817;120
J0;CAMBOTA;244,09;0+244,09;S-V;615269.3762;7492175.749;121
J0;CAMBOTA;243,09;0+243,09;S-V;615269.7394;7492176.681;122
J0;ESTACA;241,20;0+241,20;S-IV;615270.5711;7492178.814;
J0;ESTACA;238,92;0+238,92;S-IV;615271.3993;7492180.938;
J0;ESTACA;237,22;0+237,22;S-IV;615272.0167;7492182.522;
J0;ESTACA;235,62;0+235,62;S-IV;615272.5978;7492184.013;
J0;ESTACA;233,27;0+233,27;S-III;615273.4514;7492186.203;
J0;ESTACA;231,47;0+231,47;S-III;615274.1052;7492187.88;
J0;ESTACA;228,97;0+228,97;S-III;615275.0132;7492190.209;
J0;ESTACA;226,18;0+226,18;S-III;615276.0265;7492192.808;
J0;ESTACA;224,15;0+224,15;S-III;615276.7638;7492194.7;
